Date,Open,High,Low,Close,Adj Close,Volume
2015-07-28,2215.0,2420.0,2195.0,2265.0,2265.0,437760
2015-07-30,2320.0,3035.0,2320.0,3035.0,3035.0,1117581
2015-07-31,3800.0,3945.0,3570.0,3945.0,3945.0,1135028
2015-08-04,3690.0,4535.0,3560.0,4535.0,4535.0,2918555
2015-08-06,6760.0,7560.0,6120.0,6450.0,6450.0,3992516
2015-08-10,5770.0,5770.0,4855.0,4960.0,4960.0,878093
2015-08-12,4680.0,4760.0,4035.0,4290.0,4290.0,324117
2015-08-17,4515.0,4610.0,3705.0,3770.0,3770.0,265450
2015-08-18,3830.0,4540.0,3300.0,3550.0,3550.0,872107
2015-08-19,3440.0,3540.0,3255.0,3495.0,3495.0,184052
2015-08-24,2755.0,2945.0,2650.0,2795.0,2795.0,60560
2015-08-25,2850.0,3630.0,2760.0,3630.0,3630.0,249708
2015-08-27,3695.0,3800.0,3375.0,3470.0,3470.0,2620216
2015-08-31,3310.0,3920.0,3310.0,3340.0,3340.0,2086814
2015-09-02,2875.0,3280.0,2830.0,3015.0,3015.0,547175
2015-09-03,3175.0,3175.0,2970.0,3070.0,3070.0,241167
2015-09-04,3070.0,3150.0,2700.0,2750.0,2750.0,352396
2015-09-07,2695.0,2800.0,2650.0,2715.0,2715.0,256647
2015-09-08,2820.0,2825.0,2455.0,2505.0,2505.0,284612
2015-09-09,2600.0,2775.0,2535.0,2550.0,2550.0,156130
2015-09-10,2500.0,2685.0,2475.0,2580.0,2580.0,174641
2015-09-11,2580.0,2630.0,2520.0,2630.0,2630.0,161154
2015-09-14,2665.0,2675.0,2520.0,2535.0,2535.0,111249
2015-09-15,2535.0,2560.0,2430.0,2455.0,2455.0,136726
2015-09-16,2490.0,2490.0,2420.0,2460.0,2460.0,108840
2015-09-17,2485.0,2490.0,2395.0,2475.0,2475.0,133546
2015-09-22,2995.0,3030.0,2735.0,2760.0,2760.0,896384
