Date,Open,High,Low,Close,Adj Close,Volume
2016-10-31,67700.0,70000.0,47400.0,47400.0,47400.0,1427065
2016-11-01,45500.0,50800.0,40800.0,41750.0,41750.0,1240311
2016-11-02,42350.0,42650.0,34200.0,34700.0,34700.0,485422
2016-11-03,35600.0,37750.0,34600.0,35000.0,35000.0,384383
2016-11-04,34900.0,35650.0,33100.0,34600.0,34600.0,194965
2016-11-07,35150.0,35950.0,34550.0,34600.0,34600.0,109579
2016-11-08,35300.0,41500.0,35100.0,38200.0,38200.0,660047
2016-11-09,38600.0,38650.0,31150.0,34650.0,34650.0,277322
2016-11-10,36000.0,37850.0,35350.0,37300.0,37300.0,114938
2016-11-11,36600.0,37200.0,35600.0,36250.0,36250.0,67789
2016-11-14,36350.0,37300.0,36000.0,37150.0,37150.0,36073
2016-11-15,37150.0,37300.0,36450.0,37150.0,37150.0,36334
2016-11-16,37500.0,40800.0,37450.0,38750.0,38750.0,138497
2016-11-17,40100.0,41500.0,39000.0,39050.0,39050.0,119094
2016-11-18,39100.0,39700.0,37450.0,38700.0,38700.0,53539
2016-11-21,38350.0,40600.0,37800.0,40350.0,40350.0,54146
2016-11-22,40200.0,41350.0,39800.0,40800.0,40800.0,49962
2016-11-23,40750.0,41100.0,39400.0,39600.0,39600.0,38422
2016-11-24,40300.0,40300.0,38100.0,38400.0,38400.0,30348
2016-11-25,38000.0,39750.0,38000.0,39700.0,39700.0,20464
2016-11-28,39600.0,39700.0,38650.0,38800.0,38800.0,12600
2016-11-29,39200.0,39300.0,37250.0,37800.0,37800.0,22948
2016-11-30,37350.0,37850.0,36400.0,36850.0,36850.0,29611
2016-12-01,36600.0,38100.0,36500.0,38100.0,38100.0,23040
2016-12-02,37700.0,38250.0,37150.0,37500.0,37500.0,14303
2016-12-05,36300.0,39300.0,36300.0,38400.0,38400.0,28371
2016-12-06,38150.0,40000.0,38150.0,40000.0,40000.0,29010
2016-12-07,40500.0,40650.0,39100.0,39350.0,39350.0,24740
2016-12-08,39700.0,40400.0,39200.0,39900.0,39900.0,21776
2016-12-09,40300.0,40300.0,39250.0,39600.0,39600.0,11401
2016-12-12,39800.0,40300.0,38800.0,39300.0,39300.0,16424
2016-12-13,39050.0,39600.0,38700.0,39200.0,39200.0,12051
2016-12-14,39300.0,41450.0,39000.0,41350.0,41350.0,48270
2016-12-15,40700.0,42150.0,40700.0,41500.0,41500.0,20326
2016-12-16,41500.0,42400.0,41050.0,41400.0,41400.0,17563
2016-12-19,42000.0,44050.0,41850.0,42700.0,42700.0,55520
2016-12-20,42850.0,43900.0,42000.0,42000.0,42000.0,22375
2016-12-21,41600.0,42750.0,41150.0,41850.0,41850.0,22243
2016-12-22,42950.0,42950.0,41400.0,41400.0,41400.0,13006
2016-12-23,41400.0,42250.0,40950.0,41400.0,41400.0,10972
2016-12-26,41850.0,43200.0,41200.0,43000.0,43000.0,19399
2016-12-27,43500.0,43550.0,42150.0,42150.0,42150.0,9487
2016-12-28,42250.0,43250.0,42100.0,42350.0,42350.0,8778
2016-12-29,43000.0,45200.0,42500.0,45100.0,45100.0,29639
2017-01-02,45100.0,46800.0,44300.0,44300.0,44300.0,25606
2017-01-03,44100.0,44400.0,43200.0,43200.0,43200.0,15599
2017-01-04,43200.0,45200.0,43200.0,44900.0,44900.0,20317
2017-01-05,45600.0,46350.0,43600.0,44950.0,44950.0,48532
2017-01-06,44300.0,45350.0,41500.0,42250.0,42250.0,62420
2017-01-09,41800.0,42500.0,41500.0,41950.0,41950.0,14426
2017-01-10,41950.0,42400.0,41700.0,41900.0,41900.0,8204
2017-01-11,42000.0,42300.0,40500.0,41150.0,41150.0,21157
2017-01-12,41550.0,41750.0,40150.0,40250.0,40250.0,12882
2017-01-13,40050.0,41500.0,40000.0,41500.0,41500.0,13376
2017-01-16,41000.0,41600.0,40550.0,40700.0,40700.0,8176
2017-01-17,40500.0,41850.0,40450.0,41200.0,41200.0,8032
2017-01-18,40900.0,41650.0,40500.0,40700.0,40700.0,6864
2017-01-19,40800.0,41300.0,40150.0,40150.0,40150.0,6847
2017-01-20,40300.0,40350.0,38350.0,38600.0,38600.0,25109
2017-01-23,38550.0,40400.0,38550.0,40100.0,40100.0,9889
2017-01-24,40000.0,40500.0,38700.0,39200.0,39200.0,9308
2017-01-25,39150.0,40900.0,39150.0,40000.0,40000.0,6291
2017-01-26,39600.0,40350.0,39550.0,39800.0,39800.0,5851
2017-01-31,39800.0,39950.0,38950.0,39500.0,39500.0,8011
2017-02-01,39100.0,41350.0,39050.0,40900.0,40900.0,14140
2017-02-02,40900.0,41250.0,39550.0,40000.0,40000.0,9972
2017-02-03,39600.0,40400.0,38300.0,38650.0,38650.0,19367
2017-02-06,38800.0,39300.0,38400.0,38650.0,38650.0,8792
2017-02-07,38700.0,39350.0,37700.0,38450.0,38450.0,19354
2017-02-08,38150.0,42550.0,38150.0,42300.0,42300.0,93875
2017-02-09,42950.0,44300.0,42650.0,43700.0,43700.0,57279
2017-02-10,43900.0,44100.0,42000.0,43200.0,43200.0,26551
2017-02-13,43200.0,44750.0,42000.0,44750.0,44750.0,37972
2017-02-14,44750.0,46050.0,44250.0,45500.0,45500.0,35338
2017-02-15,45950.0,46400.0,44650.0,45350.0,45350.0,11463
2017-02-16,44900.0,45400.0,43650.0,44400.0,44400.0,13011
2017-02-17,43950.0,45950.0,43950.0,45950.0,45950.0,32320
2017-02-20,45950.0,48350.0,45500.0,47650.0,47650.0,40269
2017-02-21,47000.0,47650.0,46700.0,47500.0,47500.0,7350
2017-02-22,47500.0,48000.0,45150.0,46600.0,46600.0,26702
2017-02-23,46800.0,46800.0,44500.0,45300.0,45300.0,15936
2017-02-24,45300.0,45500.0,43750.0,44100.0,44100.0,16267
2017-02-27,43850.0,44250.0,42600.0,43750.0,43750.0,12605
2017-02-28,43900.0,45000.0,43500.0,44900.0,44900.0,9681
2017-03-02,44900.0,45400.0,43500.0,44200.0,44200.0,8470
2017-03-03,43700.0,44400.0,41800.0,43150.0,43150.0,18713
2017-03-06,42200.0,44400.0,42050.0,44100.0,44100.0,9313
2017-03-07,44450.0,45100.0,43350.0,44900.0,44900.0,19384
2017-03-08,45200.0,45750.0,44150.0,44900.0,44900.0,10816
2017-03-09,44900.0,47650.0,44800.0,46500.0,46500.0,33465
2017-03-10,46500.0,47100.0,45800.0,47000.0,47000.0,10454
2017-03-13,46950.0,47950.0,46550.0,47500.0,47500.0,14546
2017-03-14,47500.0,47500.0,46450.0,46600.0,46600.0,9717
2017-03-15,46400.0,46850.0,44750.0,45900.0,45900.0,11589
2017-03-16,45650.0,46500.0,44500.0,46200.0,46200.0,12886
2017-03-17,46200.0,46250.0,44750.0,46050.0,46050.0,17393
2017-03-20,46050.0,46050.0,44950.0,45550.0,45550.0,9159
2017-03-21,45050.0,45550.0,44300.0,45100.0,45100.0,11065
2017-03-22,44700.0,45200.0,44300.0,44950.0,44950.0,7557
2017-03-23,44500.0,45200.0,44100.0,44900.0,44900.0,8880
2017-03-24,44850.0,47700.0,44550.0,47700.0,47700.0,31484
2017-03-27,48300.0,49000.0,47600.0,48050.0,48050.0,29586
2017-03-28,48050.0,50200.0,47650.0,48800.0,48800.0,46899
2017-03-29,48800.0,49750.0,48500.0,49300.0,49300.0,21731
2017-03-30,49300.0,49900.0,48800.0,49800.0,49800.0,11675
2017-03-31,50300.0,50300.0,48350.0,49700.0,49700.0,25896
2017-04-03,49000.0,49750.0,48950.0,49650.0,49650.0,19233
2017-04-04,49500.0,49550.0,48400.0,48900.0,48900.0,16523
2017-04-05,48900.0,49950.0,47850.0,48800.0,48800.0,19490
2017-04-06,48450.0,49150.0,47650.0,48150.0,48150.0,18597
2017-04-07,47700.0,48100.0,46850.0,47700.0,47700.0,21038
2017-04-10,47700.0,47750.0,46700.0,46750.0,46750.0,12996
2017-04-11,46350.0,47450.0,45000.0,47000.0,47000.0,29875
2017-04-12,46200.0,47000.0,45500.0,46850.0,46850.0,23444
2017-04-13,46850.0,54500.0,46800.0,52000.0,52000.0,147378
2017-04-14,52300.0,55000.0,51200.0,53400.0,53400.0,61823
2017-04-17,54400.0,57700.0,52700.0,57600.0,57600.0,60649
2017-04-18,57600.0,57900.0,55200.0,56900.0,56900.0,22340
2017-04-19,56900.0,59400.0,55900.0,58800.0,58800.0,37729
2017-04-20,57500.0,58600.0,57000.0,57900.0,57900.0,24074
2017-04-21,58100.0,58200.0,55400.0,56000.0,56000.0,29486
2017-04-24,56000.0,56400.0,54500.0,56000.0,56000.0,23601
2017-04-25,56000.0,58900.0,55100.0,58800.0,58800.0,30184
2017-04-26,58700.0,59200.0,57800.0,59000.0,59000.0,20741
2017-04-27,59000.0,59700.0,58300.0,59100.0,59100.0,26699
2017-04-28,59100.0,59700.0,58500.0,59000.0,59000.0,16001
2017-05-02,59000.0,59500.0,57000.0,58400.0,58400.0,19370
2017-05-04,58400.0,59600.0,58000.0,58800.0,58800.0,11104
2017-05-08,58800.0,59400.0,56300.0,58000.0,58000.0,52739
2017-05-10,57800.0,58400.0,56200.0,56300.0,56300.0,25293
2017-05-11,55700.0,56200.0,52100.0,54800.0,54800.0,113680
2017-05-12,54800.0,54800.0,52300.0,53000.0,53000.0,43433
2017-05-15,54000.0,54000.0,52000.0,52400.0,52400.0,192674
2017-05-16,52800.0,53800.0,52200.0,53400.0,53400.0,47056
2017-05-17,54300.0,54600.0,53100.0,53700.0,53700.0,33230
2017-05-18,53100.0,53100.0,50900.0,51800.0,51800.0,51187
2017-05-19,51800.0,53700.0,50800.0,53400.0,53400.0,44463
2017-05-22,53100.0,53900.0,51700.0,53000.0,53000.0,17779
2017-05-23,52300.0,53600.0,52000.0,52600.0,52600.0,22367
2017-05-24,52300.0,53000.0,52000.0,52400.0,52400.0,10611
2017-05-25,52100.0,52600.0,51000.0,51700.0,51700.0,17806
2017-05-26,51700.0,52600.0,51200.0,52300.0,52300.0,11199
2017-05-29,52300.0,52800.0,51400.0,52100.0,52100.0,16146
2017-05-30,52300.0,52400.0,51400.0,52400.0,52400.0,17954
2017-05-31,52400.0,54100.0,52400.0,53300.0,53300.0,36796
2017-06-01,53600.0,53700.0,52200.0,53000.0,53000.0,19657
2017-06-02,53400.0,53400.0,51700.0,51800.0,51800.0,32480
2017-06-05,52200.0,52700.0,51000.0,51100.0,51100.0,16829
2017-06-07,51100.0,51600.0,49600.0,49600.0,49600.0,30180
2017-06-08,50000.0,51400.0,49900.0,50200.0,50200.0,17777
2017-06-09,50200.0,51100.0,49700.0,50200.0,50200.0,23623
2017-06-12,50200.0,50200.0,48800.0,49950.0,49950.0,16762
2017-06-13,49850.0,50400.0,47900.0,48500.0,48500.0,44698
2017-06-14,48500.0,49200.0,46700.0,46700.0,46700.0,43001
2017-06-15,46750.0,47200.0,44500.0,44700.0,44700.0,54734
2017-06-16,45150.0,46100.0,44050.0,45950.0,45950.0,24323
2017-06-19,45600.0,47550.0,45250.0,46850.0,46850.0,24290
2017-06-20,46850.0,47100.0,45450.0,46400.0,46400.0,23630
2017-06-21,45650.0,46350.0,44900.0,45250.0,45250.0,17601
2017-06-22,45750.0,45750.0,43150.0,45100.0,45100.0,27152
2017-06-23,45600.0,46400.0,44550.0,46400.0,46400.0,13394
2017-06-26,45550.0,46400.0,45400.0,46200.0,46200.0,5662
2017-06-27,45700.0,47050.0,45700.0,46150.0,46150.0,9444
2017-06-28,46750.0,47950.0,46200.0,47950.0,47950.0,23026
2017-06-29,47850.0,50900.0,47850.0,50700.0,50700.0,66554
2017-06-30,50900.0,52500.0,50800.0,51900.0,51900.0,49429
2017-07-03,52100.0,52500.0,50600.0,50600.0,50600.0,16885
2017-07-04,50400.0,51000.0,49600.0,49700.0,49700.0,13076
2017-07-05,49700.0,50100.0,48950.0,49600.0,49600.0,13549
2017-07-06,49700.0,50200.0,48350.0,48550.0,48550.0,37789
2017-07-07,48550.0,51300.0,48500.0,50900.0,50900.0,24853
2017-07-10,51300.0,52300.0,50400.0,51200.0,51200.0,19154
2017-07-11,52000.0,53100.0,51100.0,52900.0,52900.0,46514
2017-07-12,53300.0,53500.0,51100.0,51700.0,51700.0,30898
2017-07-13,52500.0,52500.0,50000.0,50300.0,50300.0,26774
2017-07-14,50300.0,52000.0,50300.0,51800.0,51800.0,10264
2017-07-17,51900.0,52900.0,49800.0,50100.0,50100.0,26720
2017-07-18,50500.0,50500.0,48400.0,49150.0,49150.0,44335
2017-07-19,49650.0,50600.0,48800.0,50200.0,50200.0,13877
2017-07-20,50700.0,51600.0,50100.0,50500.0,50500.0,22452
2017-07-21,50300.0,50800.0,50000.0,50200.0,50200.0,10199
2017-07-24,50000.0,50200.0,48850.0,49200.0,49200.0,25336
2017-07-25,49650.0,49700.0,47500.0,48600.0,48600.0,31830
2017-07-26,49000.0,49000.0,47750.0,48350.0,48350.0,13651
2017-07-27,48350.0,48950.0,48300.0,48800.0,48800.0,8554
2017-07-28,48800.0,49050.0,48100.0,48100.0,48100.0,7253
2017-07-31,48100.0,48100.0,46200.0,47600.0,47600.0,19673
2017-08-01,47600.0,47600.0,46000.0,46750.0,46750.0,30087
2017-08-02,47250.0,47500.0,46700.0,47400.0,47400.0,7963
2017-08-03,47550.0,49200.0,47400.0,48850.0,48850.0,23864
2017-08-04,49150.0,50700.0,48800.0,50300.0,50300.0,17790
2017-08-07,50100.0,50500.0,49900.0,50100.0,50100.0,9263
2017-08-08,50100.0,50400.0,49000.0,50100.0,50100.0,13506
2017-08-09,50500.0,50500.0,49200.0,49700.0,49700.0,6374
2017-08-10,48850.0,49000.0,45700.0,45950.0,45950.0,82522
2017-08-11,45050.0,45500.0,44200.0,44650.0,44650.0,29991
2017-08-14,44450.0,45900.0,44200.0,45050.0,45050.0,10200
2017-08-16,45050.0,45500.0,44700.0,44800.0,44800.0,12379
2017-08-17,45200.0,47200.0,44800.0,47050.0,47050.0,13436
2017-08-18,46800.0,47200.0,46000.0,47050.0,47050.0,4658
2017-08-21,46950.0,47400.0,46650.0,47250.0,47250.0,3773
2017-08-22,47250.0,47500.0,46500.0,46850.0,46850.0,2739
2017-08-23,47150.0,47150.0,45550.0,46000.0,46000.0,4295
2017-08-24,45800.0,46500.0,45300.0,46450.0,46450.0,5838
2017-08-25,46850.0,46850.0,45800.0,46250.0,46250.0,2605
2017-08-28,47000.0,47000.0,45700.0,46300.0,46300.0,3292
2017-08-29,46300.0,46800.0,45600.0,46750.0,46750.0,4361
2017-08-30,46100.0,46650.0,45800.0,46250.0,46250.0,4021
2017-08-31,46250.0,46600.0,45500.0,46050.0,46050.0,4619
2017-09-01,46050.0,46100.0,45300.0,45500.0,45500.0,4693
2017-09-04,44450.0,46050.0,44450.0,45800.0,45800.0,6817
2017-09-05,45200.0,46300.0,44750.0,45200.0,45200.0,7028
2017-09-06,44900.0,46500.0,44900.0,46350.0,46350.0,8018
