Date,Open,High,Low,Close,Adj Close,Volume
2000-04-28,6279.009765999999,6279.009765999999,6279.009765999999,6279.009765999999,6279.009765999999,2
2000-05-01,6279.009765999999,6279.009765999999,6279.009765999999,6279.009765999999,6279.009765999999,0
2000-05-02,7032.5,7032.5,7032.5,7032.5,7032.5,67
2000-05-03,7869.700195,7869.700195,7869.700195,7869.700195,7869.700195,239
2000-05-04,8811.549805,8811.549805,8811.549805,8811.549805,8811.549805,478
2000-05-05,8811.549805,8811.549805,8811.549805,8811.549805,8811.549805,0
2000-05-08,9858.049805,9858.049805,9858.049805,9858.049805,9858.049805,717
2000-05-09,9858.049805,9858.049805,9858.049805,9858.049805,9858.049805,0
2000-05-10,9858.049805,9858.049805,9858.049805,9858.049805,9858.049805,0
2000-05-11,9858.049805,9858.049805,9858.049805,9858.049805,9858.049805,0
2000-05-12,13813.799805,13813.799805,13813.799805,13813.799805,13813.799805,3583
2000-05-15,15467.299805,15467.299805,15467.299805,15467.299805,15467.299805,3344
2000-05-16,17309.099609,17309.099609,17309.099609,17309.099609,17309.099609,18156
2000-05-17,19381.199219,19381.199219,19381.199219,19381.199219,19381.199219,11945
2000-05-18,21683.5,21683.5,21683.5,21683.5,21683.5,386287
2000-05-19,23441.699219,23441.699219,19088.199219,19088.199219,19088.199219,2039413
2000-05-22,16827.800781,17916.099609,16806.800781,16806.800781,16806.800781,118490
2000-05-23,14797.5,18816.099609,14797.5,15718.5,15718.5,3256562
2000-05-24,15906.799805,17602.199219,14818.5,17602.199219,17602.199219,1604153
2000-05-25,19695.199219,19695.199219,19695.199219,19695.199219,19695.199219,39656
2000-05-26,22018.400391,22018.400391,20385.900391,22018.400391,22018.400391,1088149
2000-05-29,20427.699219,24655.599609,19381.199219,19381.199219,19381.199219,3954363
2000-05-30,19381.199219,19381.199219,19381.199219,19381.199219,19381.199219,0
2000-05-31,19506.800781,20385.900391,18878.900391,20385.900391,20385.900391,955086
2000-06-01,20804.5,22813.800781,19464.900391,21934.699219,21934.699219,4061147
2000-06-02,22981.199219,24530.0,22395.199219,24530.0,24530.0,2666263
2000-06-05,27460.199219,27460.199219,27041.599608999997,27460.199219,27460.199219,184663
2000-06-06,27460.199219,27460.199219,27460.199219,27460.199219,27460.199219,0
2000-06-07,30725.300781,30725.300781,25241.599609,27460.199219,27460.199219,3191584
2000-06-08,27878.800781,28632.300781,24195.099609,24195.099609,24195.099609,1884133
2000-06-09,22604.5,26371.900391,22185.800781,25409.099609,25409.099609,2167458
2000-06-12,24948.599609,27083.5,23064.900391,23232.400391,23232.400391,1836355
2000-06-13,21976.5,22939.300781,20469.599609,20469.599609,20469.599609,922597
2000-06-14,20930.0,22897.5,19130.099609,22897.5,22897.5,2379832
2000-06-15,23190.5,23651.0,20176.599609,20176.599609,20176.599609,1759910
2000-06-16,19255.599609,20930.0,18083.599609,18837.0,18837.0,1369562
2000-06-19,18837.0,20092.800781,16785.900391,17162.599609,17162.599609,1165549
2000-06-20,17916.099609,19213.800781,17497.5,18795.199219,18795.199219,1784038
2000-06-21,19004.5,19171.900391,17162.599609,17706.800781,17706.800781,1489963
2000-06-22,18209.099609,19423.099609,16953.300781,18753.300781,18753.300781,1961056
2000-06-23,18837.0,18962.599609,17581.199219,17665.0,17665.0,745340
2000-06-26,17162.599609,18376.599609,17037.099609,17685.900391,17685.900391,785474
2000-06-27,18104.5,18962.599609,17497.5,17685.900391,17685.900391,867174
2000-06-28,17497.5,18209.099609,16618.5,17999.800781,17999.800781,731006
2000-06-29,18837.0,20155.599609,17999.800781,20155.599609,20155.599609,1986856
2000-06-30,21013.800781,21934.699219,17748.699219,18544.0,18544.0,2771136
2000-07-03,18627.699219,19841.699219,17874.300781,18460.300781,18460.300781,1013137
2000-07-04,18711.5,18837.0,17309.099609,17790.5,17790.5,718106
2000-07-05,16785.900391,17539.400391,15655.700195,15655.700195,15655.700195,639750
2000-07-06,14462.700195,14818.5,13792.900391,13792.900391,13792.900391,530099
2000-07-07,12495.200195,15237.099609,12495.200195,14944.099609,14944.099609,1163638
2000-07-10,14734.799805,16116.099609,14525.5,15488.200195,15488.200195,943381
2000-07-11,15111.5,15111.5,13646.400391,14023.099609,14023.099609,561394
2000-07-12,14106.900391,14441.700195,12976.599609,13520.799805,13520.799805,467749
2000-07-13,13185.900391,14316.200195,13060.299805,13227.799805,13227.799805,824174
2000-07-14,13248.700195,13604.5,12851.0,12976.599609,12976.599609,355231
2000-07-17,12976.599609,12976.599609,12976.599609,12976.599609,12976.599609,0
2000-07-18,12997.599609,13646.400391,12809.200195,12892.900391,12892.900391,461060
2000-07-19,12997.599609,13646.400391,12809.200195,12892.900391,12892.900391,461060
