Date,Open,High,Low,Close,Adj Close,Volume
2012-09-17,4990.0,4990.0,4650.0,4880.0,3156.052002,8130
2012-09-18,4880.0,4890.0,4810.0,4810.0,3110.7807620000003,6190
2012-09-19,4810.0,4810.0,4770.0,4770.0,3084.9111329999996,1600
2012-09-20,4775.0,4985.0,4775.0,4785.0,3094.612305,480
2012-09-21,4785.0,4785.0,4785.0,4785.0,3094.612305,0
2012-09-24,4760.0,4775.0,4760.0,4775.0,3088.1455079999996,3000
2012-09-25,4775.0,4780.0,4775.0,4775.0,3088.1455079999996,2140
2012-09-26,4785.0,4785.0,4785.0,4785.0,3094.612305,140
2012-09-27,4780.0,5000.0,4780.0,5000.0,3233.659424,6950
2012-09-28,4800.0,4800.0,4800.0,4800.0,3104.313965,820
2012-10-02,4800.0,4800.0,4790.0,4790.0,3097.845703,750
2012-10-04,4790.0,4805.0,4790.0,4805.0,3107.5471190000003,2000
2012-10-05,4800.0,4800.0,4795.0,4800.0,3104.313965,2830
2012-10-08,4800.0,4805.0,4800.0,4805.0,3107.5471190000003,600
2012-10-09,4800.0,4810.0,4780.0,4780.0,3091.378418,1800
2012-10-10,4785.0,4800.0,4750.0,4800.0,3104.313965,240
2012-10-11,4800.0,4810.0,4800.0,4800.0,3104.313965,1540
2012-10-12,4800.0,4800.0,4800.0,4800.0,3104.313965,600
2012-10-15,4800.0,4800.0,4800.0,4800.0,3104.313965,0
2012-10-16,4800.0,4800.0,4800.0,4800.0,3104.313965,0
2012-10-17,4800.0,4800.0,4800.0,4800.0,3104.313965,0
2012-10-18,4810.0,4810.0,4800.0,4800.0,3104.313965,2500
2012-10-19,4800.0,4800.0,4800.0,4800.0,3104.313965,0
2012-10-22,4800.0,4800.0,4800.0,4800.0,3104.313965,0
2012-10-23,4800.0,4800.0,4800.0,4800.0,3104.313965,0
2012-10-24,4805.0,4995.0,4805.0,4995.0,3230.425781,930
2012-10-25,4805.0,4810.0,4805.0,4810.0,3110.7807620000003,1100
2012-10-26,4810.0,4810.0,4810.0,4810.0,3110.7807620000003,0
2012-10-29,4810.0,4810.0,4810.0,4810.0,3110.7807620000003,0
2012-10-30,4810.0,4810.0,4810.0,4810.0,3110.7807620000003,0
2012-10-31,4810.0,4810.0,4810.0,4810.0,3110.7807620000003,0
2012-11-01,4810.0,4810.0,4810.0,4810.0,3110.7807620000003,0
2012-11-02,4815.0,4815.0,4800.0,4800.0,3104.313965,750
2012-11-05,4810.0,4810.0,4805.0,4810.0,3110.7807620000003,1770
2012-11-06,4810.0,4815.0,4810.0,4815.0,3114.013184,600
2012-11-07,4815.0,4815.0,4815.0,4815.0,3114.013184,500
2012-11-08,4820.0,4820.0,4820.0,4820.0,3117.247314,20
2012-11-09,4820.0,4820.0,4820.0,4820.0,3117.247314,80
2012-11-12,4825.0,4825.0,4825.0,4825.0,3120.481445,400
2012-11-13,4825.0,4825.0,4825.0,4825.0,3120.481445,0
2012-11-14,4835.0,4835.0,4835.0,4835.0,3126.948975,100
2012-11-15,4830.0,4830.0,4830.0,4830.0,3123.714844,1500
2012-11-16,4830.0,4830.0,4830.0,4830.0,3123.714844,0
2012-11-19,4830.0,4830.0,4830.0,4830.0,3123.714844,0
2012-11-20,4820.0,4820.0,4820.0,4820.0,3117.247314,10
2012-11-21,4820.0,4820.0,4820.0,4820.0,3117.247314,0
2012-11-22,4820.0,4820.0,4820.0,4820.0,3117.247314,0
2012-11-23,4890.0,4890.0,4830.0,4830.0,3123.714844,1100
2012-11-26,4830.0,4830.0,4830.0,4830.0,3123.714844,0
2012-11-27,4830.0,4830.0,4830.0,4830.0,3123.714844,0
2012-11-28,4830.0,4830.0,4830.0,4830.0,3123.714844,0
2012-11-29,4830.0,4830.0,4825.0,4830.0,3123.714844,7700
2012-11-30,4830.0,4830.0,4830.0,4830.0,3123.714844,3100
2012-12-03,4830.0,4830.0,4830.0,4830.0,3123.714844,0
2012-12-04,4830.0,4830.0,4810.0,4810.0,3110.7807620000003,3230
2012-12-05,4830.0,4830.0,4810.0,4810.0,3110.7807620000003,1770
2012-12-06,4825.0,4825.0,4775.0,4775.0,3088.1455079999996,4800
2012-12-07,4840.0,4840.0,4840.0,4840.0,3130.181396,200
2012-12-10,4840.0,4840.0,4840.0,4840.0,3130.181396,0
2012-12-11,4835.0,4835.0,4835.0,4835.0,3126.948975,700
2012-12-12,4860.0,4860.0,4860.0,4860.0,3143.1171879999997,1000
2012-12-13,4860.0,4860.0,4860.0,4860.0,3143.1171879999997,0
2012-12-14,4860.0,4860.0,4860.0,4860.0,3143.1171879999997,0
2012-12-17,4850.0,4850.0,4850.0,4850.0,3136.64917,10
2012-12-18,4850.0,4850.0,4850.0,4850.0,3136.64917,0
2012-12-20,4850.0,4850.0,4850.0,4850.0,3136.64917,110
2012-12-21,4860.0,4860.0,4860.0,4860.0,3143.1171879999997,190
2012-12-24,4860.0,4860.0,4860.0,4860.0,3143.1171879999997,0
2012-12-26,4860.0,4965.0,4860.0,4965.0,3211.02417,210
2012-12-27,4965.0,4965.0,4965.0,4965.0,3211.02417,0
2012-12-28,4995.0,4995.0,4815.0,4815.0,3114.013184,7788249
2013-01-02,4815.0,4860.0,4815.0,4860.0,3143.1171879999997,700
2013-01-03,4900.0,4900.0,4900.0,4900.0,3168.986084,100
2013-01-04,4900.0,4900.0,4900.0,4900.0,3168.986084,400
2013-01-07,4900.0,4900.0,4900.0,4900.0,3168.986084,300
2013-01-08,4900.0,4900.0,4900.0,4900.0,3168.986084,540
2013-01-09,4900.0,4900.0,4900.0,4900.0,3168.986084,620
2013-01-10,4945.0,4950.0,4940.0,4950.0,3201.322754,6280
2013-01-11,4950.0,4950.0,4950.0,4950.0,3201.322754,450
2013-01-14,4950.0,4950.0,4900.0,4900.0,3180.868652,2100
2013-01-15,4950.0,4950.0,4950.0,4950.0,3213.326172,160
2013-01-16,4950.0,4950.0,4950.0,4950.0,3213.326172,300
2013-01-17,4945.0,4950.0,4910.0,4950.0,3213.326172,4230
2013-01-18,4950.0,4950.0,4950.0,4950.0,3213.326172,3120
2013-01-21,4945.0,4955.0,4945.0,4955.0,3216.571289,8140
2013-01-22,4945.0,4970.0,4945.0,4970.0,3226.309326,2410
2013-01-23,4970.0,4970.0,4970.0,4970.0,3226.309326,0
2013-01-24,4970.0,4970.0,4970.0,4970.0,3226.309326,220
2013-01-25,4950.0,4950.0,4900.0,4900.0,3180.868652,19630
2013-01-28,4940.0,4940.0,4825.0,4845.0,3145.164795,370
2013-01-29,4900.0,4950.0,4900.0,4950.0,3213.326172,6410
2013-01-30,4950.0,4950.0,4950.0,4950.0,3213.326172,620
2013-01-31,4950.0,4950.0,4950.0,4950.0,3213.326172,700
2013-02-01,4950.0,4950.0,4940.0,4950.0,3213.326172,2010
2013-02-04,4950.0,4950.0,4950.0,4950.0,3213.326172,0
2013-02-05,4950.0,4950.0,4950.0,4950.0,3213.326172,0
2013-02-06,4950.0,4950.0,4915.0,4915.0,3190.605713,2010
2013-02-07,4945.0,4950.0,4945.0,4950.0,3213.326172,1010
2013-02-08,4950.0,4950.0,4950.0,4950.0,3213.326172,0
