Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,31516.699219,32994.0,31516.699219,32953.0,28571.712891000003,3739
2005-09-30,32788.800781,33978.898438,32788.800781,33650.601563,29176.5625,244
2005-10-04,32911.898438,33650.601563,32911.898438,33650.601563,29176.5625,938
2005-10-05,33650.601563,36112.898438,33650.601563,34307.199219,29745.861327999995,2266
2005-10-06,31229.400391000003,33650.601563,31229.400391000003,33650.601563,29176.5625,536
2005-10-07,33650.601563,38534.101563,32994.0,37344.0,32378.902344,6957
2005-10-10,36194.898438,38985.5,36194.898438,38903.398438,33730.972656,536
2005-10-11,37795.398438,44730.699219,34553.398438,42596.800781,36933.3125,10527
2005-10-12,44484.5,48916.5,39806.199219,43253.398438,37502.613281,27208
2005-10-13,39806.199219,39806.199219,36236.0,38534.101563,33410.773438,8517
2005-10-14,37385.0,38410.898438,37344.0,37918.5,32877.019531,3241
2005-10-18,38164.699219,39395.800781,38164.699219,39313.800781,34086.808594,768
2005-10-19,39272.699219,40175.601563,38575.101563,39560.0,34300.273438,5288
2005-10-20,39436.898438,40216.601563,37918.5,39313.800781,34086.808594,3241
2005-10-21,39395.800781,45141.101563,39395.800781,45141.101563,39139.335938,21952
2005-10-24,51871.199219,51871.199219,40627.0,44976.898438,38996.964844,149065
2005-10-25,45387.300781,45387.300781,37590.199219,38575.101563,33446.320313,57087
2005-10-26,38534.101563,42022.199219,37508.101563,40873.199219,35438.878906,19836
2005-10-27,38862.398438,41037.300781,38041.601563,39272.699219,34051.175781,10818
2005-10-28,37795.398438,38493.0,36933.601563,37179.800781,32236.537108999997,6981
2005-10-31,35948.699219,37426.101563,35948.699219,37220.898438,32272.166016000003,6579
2005-11-01,36194.898438,38575.101563,35825.601563,37302.898438,32343.269531,5594
2005-11-02,37056.699219,37590.199219,36646.300781,37344.0,32378.902344,2412
2005-11-03,36974.601563,39395.800781,36769.5,38164.699219,33090.484375,1718
2005-11-04,38575.101563,38575.101563,36974.601563,37344.0,32378.902344,4067
2005-11-07,36441.199219,40134.5,36400.101563,39765.199219,34478.1875,2790
2005-11-08,39560.0,40462.800781,37344.0,37344.0,32378.902344,2907
2005-11-09,37672.300781,38575.101563,37672.300781,38493.0,33375.140625,1097
2005-11-10,39395.800781,39395.800781,37713.300781,38534.101563,33410.773438,975
2005-11-11,38944.398438,38944.398438,37918.5,38493.0,33375.140625,2400
2005-11-14,37754.300781,38698.199219,37754.300781,38698.199219,33553.054688,353
2005-11-15,37836.398438,39395.800781,37836.398438,38657.199219,33517.507813,829
2005-11-16,37549.199219,38410.898438,37426.101563,38410.898438,33303.945313,1352
2005-11-17,38410.898438,38410.898438,37344.0,38000.601563,32948.207031,548
2005-11-18,37302.898438,39354.800781,37302.898438,38123.699219,33054.9375,4841
2005-11-21,37385.0,38698.199219,37385.0,38657.199219,33517.507813,829
2005-11-22,37836.398438,38821.300781,37836.398438,38821.300781,33659.789063,548
2005-11-23,38287.800781,39806.199219,38287.800781,39806.199219,34513.738281,1157
2005-11-24,39231.699219,39395.800781,38369.898438,38369.898438,33268.40625,536
2005-11-25,38410.898438,39272.699219,38246.800781,39067.5,33873.257813,938
2005-11-28,39395.800781,39395.800781,38410.898438,38985.5,33802.152344,122
2005-11-29,38575.101563,38575.101563,38246.800781,38575.101563,33446.320313,451
2005-11-30,37261.898438,38575.101563,37261.898438,38041.601563,32983.753906,5726
2005-12-01,38575.101563,38575.101563,37836.398438,38534.101563,33410.773438,829
2005-12-02,38657.199219,39806.199219,38657.199219,39806.199219,34513.738281,4191
2005-12-05,39806.199219,39806.199219,39806.199219,39806.199219,34513.738281,37
2005-12-06,40914.199219,41037.300781,39477.898438,40832.101563,35403.238281,3107
2005-12-07,41037.300781,46946.699219,41037.300781,46946.699219,40704.867188,49063
2005-12-08,47521.199219,48424.101563,41940.199219,44238.199219,38356.480469,41182
2005-12-09,41858.101563,44320.300781,41037.300781,41201.5,35723.53125,7384
2005-12-12,40462.800781,41447.699219,39765.199219,39765.199219,34478.1875,6116
2005-12-13,39067.5,40134.5,38821.300781,39929.300781,34620.472656,2059
2005-12-14,39929.300781,40175.601563,39026.5,40175.601563,34834.027344,4849
2005-12-15,39806.199219,41037.300781,39436.898438,40462.800781,35083.039063,4168
2005-12-16,39806.199219,39888.300781,39026.5,39847.300781,34549.378906,6372
2005-12-19,39395.800781,40134.5,39395.800781,39970.398438,34656.113281,1474
2005-12-20,39970.398438,40750.101563,39929.300781,40175.601563,34834.027344,1560
2005-12-21,40216.601563,40298.699219,39806.199219,40216.601563,34869.574219,1752
2005-12-23,40093.5,40093.5,40093.5,40093.5,34762.84375,610
2005-12-27,40093.5,40134.5,40093.5,40093.5,34762.84375,390
2005-12-28,41684.699219,41684.699219,40717.199219,40717.199219,35303.621094,499
