,car_brand_name,car_name,img_src
36,스바루,2011 스바루 포레스터,https://imgauto-phinf.pstatic.net/20140402_127/auto_1396429230352W9gsX_PNG/20140402180027_9ktRmDUF.png?type=f567_410
37,스바루,2016 스바루 WRX STI,https://imgauto-phinf.pstatic.net/20150429_217/auto_1430278747803vVE93_PNG/20150429123845_5d8oIkCh.png?type=f508_367
38,스바루,2015 스바루 임프레자 WRX,https://imgauto-phinf.pstatic.net/20141030_12/auto_1414662065071At8AK_PNG/20141030184102_swEqTu22.png?type=f567_410
39,스바루,2014 스바루 XV 크로스트렉,https://imgauto-phinf.pstatic.net/20141030_269/auto_14146618634361P6jh_PNG/20141030183741_LbzTeX3m.png?type=f567_410
40,스바루,2013 스바루 임프레자 WRX 해치백,https://imgauto-phinf.pstatic.net/20140609_298/auto_1402294266748Flf6N_PNG/20140609151104_VwLiHxIP.png?type=f567_410
41,스바루,2013 스바루 임프레자,https://imgauto-phinf.pstatic.net/20170510_107/auto_14944169763964Nn5T_PNG/20170510204934_QMjozCj5.png?type=f508_367
42,스바루,2013 스바루 아웃백,https://imgauto-phinf.pstatic.net/20140617_9/auto_1402971142867H3MAR_PNG/20140617111220_DUHiMLqt.png?type=f567_410
43,스바루,2011 스바루 임프레자 해치백,https://imgauto-phinf.pstatic.net/20140418_13/auto_1397798837694nNXjx_PNG/20140418142715_UCrlpNl4.png?type=f567_410
44,스바루,2010 스바루 포레스터,https://imgauto-phinf.pstatic.net/20140213_46/auto_1392259223652cbjIC_PNG/20140213114020_TyKcFhXY.png?type=f567_410
45,스바루,2006 스바루 임프레자 왜건,https://imgauto-phinf.pstatic.net/20140321_181/auto_1395388385342TBQw6_PNG/20140321165303_mOJKCz1r.png?type=f567_410
46,스바루,2006 스바루 아웃백,https://imgauto-phinf.pstatic.net/20141204_3/auto_1417677192141QwElx_PNG/20141204161307_EHw2UjKx.png?type=f508_367
47,스바루,2006 스바루 레거시 왜건,https://imgauto-phinf.pstatic.net/brand2/adv/3691/basicimg/3691_main.jpg?type=f508_367
48,스바루,2015 스바루 임프레자,https://imgauto-phinf.pstatic.net/20150429_178/auto_1430273435342NDMJz_PNG/20150429111018_gDpanITA.png?type=f508_367
49,스바루,2015 스바루 BRZ,https://imgauto-phinf.pstatic.net/20141205_28/auto_1417745013533Gml5J_PNG/20141205110310_aYVemYq5.png?type=f508_367
50,스바루,2013 스바루 임프레자 해치백,https://imgauto-phinf.pstatic.net/20170510_80/auto_1494416735989oBkhj_PNG/20170510204528_j2xZD0pi.png?type=f508_367
51,스바루,2013 스바루 XV 크로스트렉,https://imgauto-phinf.pstatic.net/20140502_133/auto_13990213974894yEKE_PNG/20140502180315_k2ZDPfVX.png?type=f567_410
