,car_brand_name,car_fuel,car_type,car_name_detail,car_country,car_name,car_people
0,현대,가솔린,준중형,i30 (PD) ,국산,i30,5
1,현대,디젤,준중형,i30 (PD) ,국산,i30,5
2,현대,가솔린,준중형,더 뉴 i30 ,국산,i30,5
3,현대,디젤,준중형,더 뉴 i30 ,국산,i30,5
4,현대,가솔린,준중형,i30(신형) ,국산,i30,5
5,현대,디젤,준중형,i30(신형) ,국산,i30,5
6,현대,가솔린,준중형,i30 ,국산,i30,5
7,현대,디젤,준중형,i30 ,국산,i30,5
8,현대,가솔린,준중형,i30 cw ,국산,i30,5
9,현대,디젤,준중형,i30 cw ,국산,i30,5
10,현대,가솔린,중형,더 뉴 i40 ,국산,i40,5
11,현대,디젤,중형,더 뉴 i40 ,국산,i40,5
12,현대,가솔린,중형,더 뉴 i40 살룬,국산,i40,5
13,현대,디젤,준중형,더 뉴 i40 살룬,국산,i40,5
14,현대,가솔린,준중형,i40 ,국산,i40,5
15,현대,디젤,준중형,i40 ,국산,i40,5
16,현대,가솔린,준중형,i40 살룬 ,국산,i40,5
17,현대,디젤,준중형,i40 살룬 ,국산,i40,5
18,현대,가솔린,대형,그랜저 IG ,국산,그랜저,5
19,현대,디젤,대형,그랜저 IG ,국산,그랜저,5
20,현대,LPG,대형,그랜저 IG ,국산,그랜저,5
21,현대,가솔린+전기,대형,그랜저 IG 하이브리드 ,국산,그랜저,5
22,현대,가솔린,대형,그랜저 HG ,국산,그랜저,5
23,현대,디젤,대형,그랜저 HG ,국산,그랜저,5
24,현대,LPG,대형,그랜저 HG ,국산,그랜저,5
25,현대,LPG(일반인 구입),대형,그랜저 HG ,국산,그랜저,5
26,현대,가솔린+전기,대형,그랜저 HG 하이브리드 ,국산,그랜저,5
27,현대,가솔린+LPG,대형,그랜저 HG 하이브리드 ,국산,그랜저,5
28,현대,가솔린,대형,더 럭셔리 그랜저 ,국산,그랜저,5
29,현대,LPG(일반인 구입),대형,더 럭셔리 그랜저 ,국산,그랜저,5
30,현대,가솔린+CNG,대형,더 럭셔리 그랜저 ,국산,그랜저,5
31,현대,가솔린,대형,그랜저 뉴 럭셔리 ,국산,그랜저,5
