,car_brand_name,car_name,img_src
0,세아트,2018 세아트 아로나,https://imgauto-phinf.pstatic.net/20171031_266/auto_1509439855377PAJWP_PNG/20171031174935_r6q6oH2P.png?type=f508_367
1,세아트,2018 세아트 레온 SC,https://imgauto-phinf.pstatic.net/20180212_157/auto_1518406554091v46al_PNG/20180212123426_2E5TcSr6.png?type=f567_410
2,세아트,2018 세아트 이비자,https://imgauto-phinf.pstatic.net/20180208_11/auto_15180638595225swQ4_PNG/20180208132338_BOBwK3Zg.png?type=f508_367
3,세아트,2018 세아트 아테카,https://imgauto-phinf.pstatic.net/20180208_289/auto_1518072342042DmQUz_PNG/20180208154540_ggWPU2KW.png?type=f508_367
4,세아트,2018 세아트 레온,https://imgauto-phinf.pstatic.net/20180212_82/auto_1518402404906zB0pg_PNG/20180212112022_U6q9qdCE.png?type=f567_410
5,세아트,2018 세아트 레온 ST,https://imgauto-phinf.pstatic.net/20180212_283/auto_1518416457094c0Cz8_PNG/20180212152044_EzDuVbVT.png?type=f508_367
6,세아트,2017 세아트 톨레도,https://imgauto-phinf.pstatic.net/20180208_52/auto_15180667374329Iy4e_PNG/20180208141206_9ovDkeGS.png?type=f508_367
7,세아트,2017 세아트 알함브라,https://imgauto-phinf.pstatic.net/20180208_180/auto_1518073321089qDNXN_PNG/20180208160159_LVTEJqS6.png?type=f508_367
8,세아트,2016 세아트 이비자,https://imgauto-phinf.pstatic.net/20150605_283/auto_14334882616087Y6bd_PNG/20150605161052_vbM5ZINU.png?type=f508_367
9,세아트,2016 세아트 레온 ST 쿠프라,https://imgauto-phinf.pstatic.net/20150310_188/auto_1425962923935uCirX_PNG/20150310134829_UCmrOtqv.png?type=f508_367
10,세아트,2008 세아트 이비자 SC,https://imgauto-phinf.pstatic.net/20161024_189/auto_1477287499875c9qDX_PNG/20161024143816_363rV1QF.png?type=f508_367
11,세아트,2017 세아트 레온 ST,https://imgauto-phinf.pstatic.net/20170508_45/auto_1494208212421PNlFM_PNG/20170508105010_YVu1bvCg.png?type=f508_367
12,쉘비,2013 쉘비 GT500,https://imgauto-phinf.pstatic.net/20140609_197/auto_1402275792436QDiT5_PNG/20140609100310_5pb7aNfY.png?type=f567_410
13,쉘비,2013 쉘비 랩터,https://imgauto-phinf.pstatic.net/20140609_229/auto_1402275817919U9CMa_PNG/20140609100335_aJlmUp8S.png?type=f567_410
14,쉘비,2012 쉘비 1000,https://imgauto-phinf.pstatic.net/20140609_261/auto_14022757626154PKRE_PNG/20140609100240_BaNc8D5s.png?type=f567_410
