,car_brand_name,car_fuel,car_type,name
97,현대,가솔린+전기, ,LF 쏘나타 하이브리드 (14~17년)
98,현대,가솔린+LPG, ,LF 쏘나타 하이브리드 (14~17년)
99,현대,가솔린, ,LF 쏘나타 (14~17년)
100,현대,디젤, ,LF 쏘나타 (14~17년)
101,현대,LPG, ,LF 쏘나타 (14~17년)
102,현대,가솔린, ,쏘나타 더 브릴리언트 (12~14년)
103,현대,LPG, ,쏘나타 더 브릴리언트 (12~14년)
104,현대,LPG(일반인 구입), ,쏘나타 더 브릴리언트 (12~14년)
105,현대,가솔린+CNG, ,쏘나타 더 브릴리언트 (12~14년)
106,현대,가솔린, ,YF 쏘나타 (09~12년)
107,현대,LPG, ,YF 쏘나타 (09~12년)
108,현대,LPG(일반인 구입), ,YF 쏘나타 (09~12년)
109,현대,가솔린+전기, ,쏘나타 하이브리드 (11~14년)
110,현대,가솔린+LPG, ,쏘나타 하이브리드 (11~14년)
111,현대,가솔린, ,NF 쏘나타 트랜스폼 (07~13년)
112,현대,디젤, ,NF 쏘나타 트랜스폼 (07~13년)
113,현대,LPG, ,NF 쏘나타 트랜스폼 (07~13년)
114,현대,LPG(일반인 구입), ,NF 쏘나타 트랜스폼 (07~13년)
115,현대,가솔린+CNG, ,NF 쏘나타 트랜스폼 (07~13년)
116,현대,가솔린, ,NF 쏘나타 (04~07년)
117,현대,디젤, ,NF 쏘나타 (04~07년)
118,현대,LPG, ,NF 쏘나타 (04~07년)
119,현대,LPG(일반인 구입), ,NF 쏘나타 (04~07년)
120,현대,가솔린+LPG, ,NF 쏘나타 (04~07년)
121,현대,가솔린, ,뉴 EF 쏘나타 (01~06년)
122,현대,LPG(일반인 구입), ,뉴 EF 쏘나타 (01~06년)
123,현대,가솔린, ,EF 쏘나타 (98~01년)
124,현대,가솔린, ,쏘나타 III (96~98년)
125,현대,가솔린, ,쏘나타 II (93~96년)
126,현대,가솔린, ,쏘나타 (85~93년)
127,현대,디젤, ,쏠라티(15년~현재)
128,현대,가솔린, ,아반떼 AD (15년~현재)
129,현대,디젤, ,아반떼 AD (15년~현재)
130,현대,LPG, ,아반떼 AD (15년~현재)
131,현대,가솔린, ,더 뉴 아반떼 (13~15년)
132,현대,디젤, ,더 뉴 아반떼 (13~15년)
133,현대,LPG, ,더 뉴 아반떼 (13~15년)
134,현대,가솔린, ,아반떼 쿠페 (13~15년)
135,현대,가솔린, ,아반떼 MD (10~13년)
136,현대,LPG, ,아반떼 MD (10~13년)
137,현대,LPG(일반인 구입), ,아반떼 MD (10~13년)
138,현대,가솔린, ,아반떼 HD (06~10년)
139,현대,디젤, ,아반떼 HD (06~10년)
140,현대,LPG(일반인 구입), ,아반떼 HD (06~10년)
141,현대,가솔린+LPG, ,아반떼 HD (06~10년)
142,현대,가솔린+CNG, ,아반떼 HD (06~10년)
143,현대,LPG+전기, ,아반떼 하이브리드 (09~13년)
144,현대,가솔린+LPG, ,아반떼 하이브리드 (09~13년)
